reportyear,geoname,geotypevalue,county_name,county_fips,region_name,region_code,dof_population,AA,FR,M_and_NNM,R,VCT,rate
2000,Adelanto city,296,San Bernardino,6071,Southern California,14,18130,0.005460563,0.000220629,0.000110314,0.000772201,0.006563707,6.563706564
2000,Agoura Hills city,394,Los Angeles,6037,Southern California,14,20537,0.001168622,9.73852E-05,0,0.000486926,0.001752934,1.752933729
2000,Alameda,6001,Alameda,6001,Bay Area,1,1443939,0.003779764,0.000393422,7.6191E-05,0.002332828,0.006582206,6.582205534
2000,Alameda city,562,Alameda,6001,Bay Area,1,72259,0.002518717,0.000124552,1.38391E-05,0.001522302,0.00417941,4.179410177
2000,Albany city,674,Alameda,6001,Bay Area,1,16444,0.002858185,0.000182437,0,0.002310873,0.005351496,5.351495986
2000,Alhambra city,884,Los Angeles,6037,Southern California,14,85757,0.001118829,0.00010489,4.66179E-05,0.001678243,0.00294858,2.948580486
2000,Alpine,6003,Alpine,6003,Central/Southeast Sierra,3,1208,0.007450331,0.000827815,0,0,0.008278146,8.278145695
2000,Alturas city,1444,Modoc,6049,Northeast Sierra,6,2892,0.001383126,0.000691563,0,0,0.002074689,2.074688797
2000,Amador,6005,Amador,6005,Central/Southeast Sierra,3,35100,0.004484174,0.000644783,2.93083E-05,8.7925E-05,0.00524619,5.246189918
2000,American Canyon city,1640,Napa,6055,Bay Area,1,9774,0.000409249,0.000204625,0,0.000613874,0.001227747,1.227747084
2000,Anaheim city,2000,Orange,6059,Southern California,14,328014,0.002713299,0.000256087,3.35352E-05,0.001304822,0.004307743,4.307742962
2000,Anderson city,2042,Shasta,6089,Shasta,13,9027,0.012746619,0.000775881,0,0.001108402,0.014630902,14.63090224
2000,Angels City city,2132,Calaveras,6009,Central/Southeast Sierra,3,3004,0.010985353,0,0,0,0.010985353,10.98535286
2000,Antioch city,2252,Contra Costa,6013,Bay Area,1,90532,0.004164273,0.000165687,3.31375E-05,0.001447002,0.0058101,5.810100296
2000,Apple Valley town,2364,San Bernardino,6071,Southern California,14,54239,0.002396799,0.000202806,9.21846E-05,0.000737477,0.003429267,3.429266764
2000,Arcadia city,2462,Los Angeles,6037,Southern California,14,53054,0.001489049,3.76974E-05,0,0.001093226,0.002619972,2.619972104
