"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","1","...","All industry total",3288,3228,3370,3513,3718,3865,4030,4073,4127,4171,4264,4217,4187,4211,4149
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","2","..."," Private industries",2744,2673,2784,2872,3065,3172,3294,3341,3399,3438,3543,3519,3532,3564,3490
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",5,4,11,9,15,21,14,18,8,7,22,21,19,13,13
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","4","111-112","   Farms","(L)","(L)",7,4,10,15,9,14,6,4,20,18,16,10,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","5","113-115","   Forestry, fishing, and related activities",5,4,4,5,5,6,5,4,3,3,3,3,3,3,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","6","21","  Mining",23,20,22,18,28,38,52,59,59,84,132,126,132,129,64
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","7","211","   Oil and gas extraction","(L)","(L)","(L)","(L)",1,1,1,2,1,4,7,16,23,31,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","8","212","   Mining, except oil and gas",21,19,21,16,25,33,48,53,57,78,121,107,107,97,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","9","213","   Support activities for mining",2,1,1,2,2,4,3,4,1,2,3,3,2,2,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","10","22","  Utilities",117,79,88,101,112,109,117,118,131,135,136,132,123,111,100
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","11","23","  Construction",107,105,112,119,129,130,130,131,123,130,133,134,137,144,139
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","12","31-33","  Manufacturing",299,292,280,310,355,385,382,399,416,423,440,407,419,428,425
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","13","...","   Durable goods manufacturing",187,187,197,249,296,315,296,310,300,301,313,289,307,305,309
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","14","321","    Wood products manufacturing",18,18,18,16,16,15,14,11,9,9,9,9,9,11,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",6,6,7,8,10,11,11,13,9,9,8,11,13,11,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","16","331","    Primary metals manufacturing",41,51,51,77,86,104,89,83,50,66,85,84,71,68,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","17","332","    Fabricated metal products",49,48,47,61,72,68,77,84,77,79,77,66,67,77,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","18","333","    Machinery manufacturing",13,12,13,10,9,9,11,12,12,10,12,11,13,13,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","19","334","    Computer and electronic products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",45,47,49,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","20","335","    Electrical equipment, appliance, and components manufacturing","(L)","(L)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","21","3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","22","3364-3366, 3369","    Other transportation equipment manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",60,46,68,58,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","23","337","    Furniture and related products manufacturing",9,8,8,7,8,9,9,8,8,9,8,9,9,9,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","24","339","    Miscellaneous manufacturing",1,1,1,2,5,5,6,7,8,10,5,5,6,7,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","25","...","   Nondurable goods manufacturing",112,105,82,61,59,70,87,89,116,122,127,118,113,123,116
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","26","311-312","    Food and beverage and tobacco products manufacturing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",66,"(NA)"
"27780","Johnstown, PA (Metropolitan Statistical Area)"," ","200","Gross domestic product (GDP) by metropolitan area","27","313-314","    Textile mills and textile product mills",1,1,1,1,1,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1,"(NA)"
