"GeoFIPS","GeoName","Region","ComponentId","ComponentName","IndustryId","IndustryClassification","Description","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","1","...","All industry total",88.807,90.420,92.676,95.983,99.185,101.900,103.475,102.831,100.000,102.133,103.549,105.732,107.010,109.442,112.214
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","2","..."," Private industries",88.347,89.935,92.369,96.055,99.641,102.653,104.358,103.358,100.000,102.393,104.123,106.680,108.276,111.078,114.324
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","3","11","  Agriculture, forestry, fishing, and hunting",77.561,83.199,86.298,90.305,95.983,103.818,88.140,85.718,100.000,100.208,91.991,85.684,99.854,103.069,113.979
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","4","111-112","   Farms",76.738,83.334,86.071,90.483,97.710,102.324,83.520,81.884,100.000,99.389,88.965,78.969,96.246,99.150,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","5","113-115","   Forestry, fishing, and related activities",80.985,83.784,88.050,90.643,90.865,108.747,103.734,98.352,100.000,102.696,102.536,111.922,112.669,117.060,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","6","21","  Mining",87.112,86.724,75.273,74.097,73.375,80.798,85.771,86.481,100.000,90.663,95.845,107.539,113.515,121.786,132.905
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","7","211","   Oil and gas extraction",80.896,87.206,71.530,69.453,67.458,73.312,77.605,78.311,100.000,85.179,88.389,104.154,111.095,118.125,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","8","212","   Mining, except oil and gas",120.794,114.042,115.220,114.994,117.761,116.923,117.386,105.953,100.000,105.254,110.800,104.035,108.822,119.076,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","9","213","   Support activities for mining",94.921,66.334,67.908,72.384,79.236,104.945,118.434,129.332,100.000,110.693,131.087,132.557,132.479,147.463,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","10","22","  Utilities",103.541,105.562,101.920,106.762,100.041,105.904,107.249,108.223,100.000,108.949,110.248,109.707,109.066,105.059,99.497
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","11","23","  Construction",131.376,127.373,129.817,134.558,135.093,131.663,126.525,115.234,100.000,95.032,94.306,97.796,100.580,101.583,107.163
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","12","31-33","  Manufacturing",87.381,88.200,92.964,99.110,101.586,106.919,110.759,107.893,100.000,105.165,104.760,104.979,106.534,108.304,110.030
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","13","...","   Durable goods manufacturing",83.273,84.715,90.752,96.725,103.212,111.127,116.541,115.670,100.000,111.092,117.674,120.993,122.051,124.045,125.299
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","14","321","    Wood products manufacturing",118.157,118.842,120.039,117.112,128.897,126.804,131.877,119.319,100.000,100.420,109.703,108.592,105.656,101.563,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","15","327","    Nonmetallic mineral products manufacturing",136.506,134.947,137.858,147.982,150.981,141.494,142.069,127.322,100.000,99.636,102.391,105.696,113.277,115.470,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","16","331","    Primary metals manufacturing",108.742,111.511,107.258,118.139,108.632,99.201,95.423,99.294,100.000,95.103,98.674,114.609,124.470,119.855,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","17","332","    Fabricated metal products",122.209,116.340,120.728,125.459,128.312,133.086,138.396,130.322,100.000,109.503,116.034,119.755,117.542,122.555,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","18","333","    Machinery manufacturing",103.030,94.961,93.823,103.926,110.892,119.200,124.979,124.810,100.000,109.885,124.672,123.596,120.224,120.394,"(NA)"
"00998","United States (Metropolitan Portion)","","800","Quantity indexes for real GDP by metropolitan area","19","334","    Computer and electronic products manufacturing",38.268,41.406,51.760,59.186,66.906,78.247,88.335,99.328,100.000,111.818,115.930,120.973,121.327,124.900,"(NA)"
