CAGDP1 County and MSA gross domestic product (GDP) summary
CAGDP1 County and MSA gross domestic product (GDP) summary
County
GeoFips,GeoName,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
06000,California,1373270815,1419321823,1498577965,1585081440,1698858388,1812161630,1900220369,1946241466,1879809513,1938603260,2014050287,2108873110,2223300903
06001,"Alameda, CA",67497426,69330707,72767148,75013139,78553382,82874350,86125602,87513605,84959602,88040021,91204292,95914097,100944214
06003,"Alpine, CA",58595,62265,64631,63873,67825,71300,81378,80604,78313,82178,93437,95001,93880
06005,"Amador, CA",942167,1106673,1160992,1249158,1286416,1332306,1347744,1360479,1336817,1324708,1321268,1273355,1333101
06007,"Butte, CA",4814972,5271895,5633078,5898564,6228765,6671597,6800546,6814982,6968064,7113018,7252580,7266075,7632275
06009,"Calaveras, CA",754045,841983,880782,895225,996850,1004516,1021432,1027114,997989,1082930,1108903,1046430,1044269
06011,"Colusa, CA",621413,568904,708949,629518,655904,715924,872754,1192010,1246734,1152507,1303715,1197594,1331490
06013,"Contra Costa, CA",43922851,43723034,46169866,50483895,60353295,64411090,65381899,79182562,62969299,61195812,59863035,62175077,62856280
06015,"Del Norte, CA",447018,465533,494474,537801,565918,607420,647156,715816,680410,692600,707259,693949,704217
06017,"El Dorado, CA",3999295,4452223,4652235,4989919,5298916,5671019,5735611,5815871,5741948,5760049,5952077,5877200,6088209
06019,"Fresno, CA",21072492,23139506,25186546,26776494,28199278,30526310,31301937,31002431,31296023,32317672,33957255,33556402,35856786
06021,"Glenn, CA",598214,596612,637766,696621,738925,684306,932264,993446,975981,961226,1002784,968787,1094278
06023,"Humboldt, CA",3220143,3429926,3644885,3825784,3906446,4044085,4137237,4349880,4325714,4642142,4741677,4688812,4791931
06025,"Imperial, CA",3646230,4404064,4276080,4330900,4723209,5182448,5384693,6403227,5951348,6124019,6816614,6559862,7158340
06027,"Inyo, CA",682330,791928,788600,832006,852396,900133,917462,964326,980065,1001877,1002118,1004057,1022126
