reportyear,geoname,geotypevalue,county_name,county_fips,region_name,region_code,dof_population,AA,FR,M_and_NNM,R,VCT,JDNR,rate
2000,Adelanto city,296,San Bernardino,6071,Southern California,14,18130,0.005460562603419746,0.0002206287920573635,0.0001103143960286817,0.0007722007722007722,0.006563706563706564,,6.563706563706564
2000,Agoura Hills city,394,Los Angeles,6037,Southern California,14,20537,0.00116862248624434,9.738520718702829e-05,0.0,0.0004869260359351415,0.001752933729366509,,1.752933729366509
2000,Alameda,6001,Alameda,6001,Bay Area,1,1443939,0.003779763821904344,0.0003934223659229737,7.619095114705477e-05,0.002332828395120732,0.006582205534095104,,6.582205534095104
2000,Alameda city,562,Alameda,6001,Bay Area,1,72259,0.002518717391605198,0.0001245519589255318,1.383910654728131e-05,0.001522301720200944,0.004179410177278955,,4.179410177278955
2000,Albany city,674,Alameda,6001,Bay Area,1,16444,0.002858185356360983,0.0001824373631719776,0.0,0.00231087326684505,0.00535149598637801,,5.35149598637801
2000,Alhambra city,884,Los Angeles,6037,Southern California,14,85757,0.001118828959022889,0.0001048902149083959,4.661787329262039e-05,0.001678243438534334,0.00294858048575824,,2.94858048575824
2000,Alpine,6003,Alpine,6003,Central/Southeast Sierra,3,1208,0.007450331125827814,0.0008278145695364238,0.0,0.0,0.008278145695364239,,8.27814569536424
2000,Alturas city,1444,Modoc,6049,Northeast Sierra,6,2892,0.001383125864453665,0.0006915629322268327,0.0,0.0,0.002074688796680498,,2.074688796680498
2000,Amador,6005,Amador,6005,Central/Southeast Sierra,3,35100,0.004484173505275498,0.0006447831184056272,2.930832356389215e-05,8.792497069167643e-05,0.005246189917936694,,5.246189917936694
2000,American Canyon city,1640,Napa,6055,Bay Area,1,9774,0.0004092490280335584,0.0002046245140167792,0.0,0.0006138735420503376,0.001227747084100675,,1.227747084100675
2000,Anaheim city,2000,Orange,6059,Southern California,14,328014,0.00271329882261123,0.0002560866304487003,3.353515398732981e-05,0.001304822355143378,0.004307742962190639,,4.307742962190638
2000,Anderson city,2042,Shasta,6089,Shasta,13,9027,0.01274661937486145,0.0007758811793393926,0.0,0.001108401684770561,0.0146309022389714,,14.6309022389714
2000,Angels City city,2132,Calaveras,6009,Central/Southeast Sierra,3,3004,0.01098535286284953,0.0,0.0,0.0,0.01098535286284953,,10.98535286284953
2000,Antioch city,2252,Contra Costa,6013,Bay Area,1,90532,0.004164273406088455,0.0001656872707992754,3.313745415985508e-05,0.001447002164980338,0.005810100296027924,,5.810100296027924
2000,Apple Valley town,2364,San Bernardino,6071,Southern California,14,54239,0.002396799351020483,0.0002028060989325024,9.218459042386474e-05,0.000737476723390918,0.003429266763767768,,3.429266763767768
2000,Arcadia city,2462,Los Angeles,6037,Southern California,14,53054,0.001489048893580126,3.769744034380066e-05,0.0,0.001093225769970219,0.002619972103894145,,2.619972103894145
2000,Arcata city,2476,Humboldt,6023,North Coast,5,16651,0.0009609032490541108,0.0002402258122635277,0.0,0.0004804516245270554,0.001681580685844694,,1.681580685844694
2000,Arroyo Grande city,2868,San Luis Obispo,6079,San Luis Obispo,11,15851,0.0006308750236578134,0.0002523500094631254,0.0,0.000189262507097344,0.001072487540218283,,1.072487540218283
2000,Artesia city,2896,Los Angeles,6037,Southern California,14,16380,0.003235653235653236,0.0002442002442002442,0.0,0.003540903540903541,0.007020757020757021,,7.020757020757021
2000,Arvin city,2924,Kern,6029,San Joaquin Valley,10,12956,0.004785427601111454,7.718431614695894e-05,7.718431614695894e-05,0.0008490274776165483,0.00578882371102192,,5.78882371102192
2000,Atascadero city,3064,San Luis Obispo,6079,San Luis Obispo,11,26411,0.004619287418121237,0.0001893150581197228,0.0,0.000265041081367612,0.005073643557608572,,5.073643557608572
2000,Atherton town,3092,San Mateo,6081,Bay Area,1,7194,0.001946066166249652,0.0001390047261606895,0.0,0.0005560189046427579,0.0026410897970531,,2.6410897970531
2000,Atwater city,3162,Merced,6047,San Joaquin Valley,10,23113,0.006013931553671094,0.0001297970838921819,0.0,0.000735516808722364,0.00687924544628564,,6.87924544628564
2000,Auburn city,3204,Placer,6061,Sacramento Area,8,12462,0.002086342481142674,0.0006419515326592842,0.0,0.0004814636494944632,0.003209757663296421,,3.209757663296421
2000,Avalon city,3274,Los Angeles,6037,Southern California,14,3279,0.00927406459865686,0.0,0.0,0.0003197953309881676,0.009593859929645027,,9.593859929645028
2000,Avenal city,3302,Kings,6031,San Joaquin Valley,10,14674,0.00163554586343192,0.0001362954886193267,6.814774430966335e-05,0.0002725909772386534,0.002112580073599564,,2.112580073599564
2000,Azusa city,3386,Los Angeles,6037,Southern California,14,44712,0.001833959563428162,0.0002907496868849526,4.473072105922347e-05,0.001073537305421363,0.003242977276793702,,3.242977276793702
2000,Bakersfield city,3526,Kern,6029,San Joaquin Valley,10,246899,0.001558344835402357,0.0001011912230780751,9.309592523182909e-05,0.00114548464524381,0.002898116628956071,,2.898116628956071
2000,Baldwin Park city,3666,Los Angeles,6037,Southern California,14,75837,0.00203067104447697,0.0002109788098157891,9.230322929440775e-05,0.001648271951685853,0.00398222503527302,,3.98222503527302
2000,Banning city,3820,Riverside,6065,Southern California,14,23562,0.009337068160597572,0.0002546473134708429,4.244121891180715e-05,0.001315677786266022,0.01094983447924624,,10.94983447924624
2000,Barstow city,4030,San Bernardino,6071,Southern California,14,21119,0.0054926843127042,0.0004261565415029121,9.47014536673138e-05,0.002083431980680903,0.008096974288555329,,8.096974288555328
2000,Beaumont city,4758,Riverside,6065,Southern California,14,11384,0.01352775825720309,0.0001756851721714687,8.784258608573436e-05,0.001141953619114547,0.01493323963457484,,14.93323963457484
2000,Bell Gardens city,4996,Los Angeles,6037,Southern California,14,44054,0.005311662959095655,0.0001134970717755482,6.809824306532892e-05,0.003064420937939801,0.008557679211876333,,8.557679211876334
2000,Bell city,4870,Los Angeles,6037,Southern California,14,36664,0.004554876718306786,0.0002181976871045167,0.0001090988435522584,0.002181976871045167,0.007064150120008728,,7.064150120008728
2000,Bellflower city,4982,Los Angeles,6037,Southern California,14,72878,0.003238288646779549,0.0001921018688767529,6.860781031312605e-05,0.002483602733335163,0.005982601059304591,,5.982601059304591
2000,Belmont city,5108,San Mateo,6081,Bay Area,1,25123,0.002507662301476735,0.0001990208175775186,0.0,0.0005174541257015483,0.003224137244755801,,3.224137244755801
2000,Belvedere city,5164,Marin,6041,Bay Area,1,2125,0.0004705882352941177,0.0,0.0,0.0,0.0004705882352941177,,0.4705882352941176
2000,Benicia city,5290,Solano,6095,Bay Area,1,26865,0.00115391773683231,0.0002233389168062535,0.0,0.0005211241392145914,0.001898380792853155,,1.898380792853155
2000,Berkeley city,6000,Alameda,6001,Bay Area,1,102743,0.003669349736721723,0.0003990539501474553,3.893209269731272e-05,0.003231363693876955,0.007338699473443447,,7.338699473443446
2000,Beverly Hills city,6308,Los Angeles,6037,Southern California,14,33784,0.001450390717499408,0.0002071986739284868,2.959981056121241e-05,0.001953587497040019,0.003640776699029126,,3.640776699029126
2000,Big Bear Lake city,6434,San Bernardino,6071,Southern California,14,5438,0.00680397204854726,0.0003677822728944465,0.0,0.0009194556822361162,0.008091210003677823,,8.091210003677823
2000,Biggs city,6560,Butte,6007,Butte,2,1793,0.001115448968209704,0.0,0.0,0.0005577244841048522,0.001673173452314557,,1.673173452314557
2000,Bishop city,6798,Inyo,6027,Central/Southeast Sierra,3,3575,0.006993006993006993,0.0005594405594405594,0.0,0.0002797202797202797,0.007832167832167832,,7.832167832167833
2000,Blue Lake city,7162,Humboldt,6023,North Coast,5,1137,0.000881057268722467,0.000881057268722467,0.0,0.0,0.001762114537444934,,1.762114537444934
2000,Blythe city,7218,Riverside,6065,Southern California,14,20465,0.0120937885643768,0.0001645413410119292,0.0,0.001398601398601399,0.01365693130399013,,13.65693130399013
2000,Bradbury city,7946,Los Angeles,6037,Southern California,14,855,0.007017543859649123,0.0,0.0,0.0,0.007017543859649123,,7.017543859649123
2000,Brawley city,8058,Imperial,6025,Southern California,14,22052,0.003083620533284963,0.0,4.534736078360239e-05,0.001315073462724469,0.004444041356793034,,4.444041356793035
2000,Brea city,8100,Orange,6059,Southern California,14,35410,0.003360632589663937,0.0002541654899745835,0.0,0.0007907370799209263,0.004405535159559447,,4.405535159559447
2000,Brentwood city,8142,Contra Costa,6013,Bay Area,1,23302,0.00154493176551369,0.0001716590850570766,0.0,0.0003862329413784225,0.002102823791949189,,2.102823791949189
2000,Brisbane city,8310,San Mateo,6081,Bay Area,1,3597,0.0,0.0002780094523213789,0.0,0.001390047261606895,0.001668056713928273,,1.668056713928274
2000,Buellton city,8758,Santa Barbara,6083,Santa Barbara,12,3828,0.001306165099268548,0.0,0.0,0.0005224660397074191,0.001828631138975967,,1.828631138975967
2000,Buena Park city,8786,Orange,6059,Southern California,14,77962,0.001890600648935898,0.0001788406019263688,0.0,0.001584016759919266,0.003653458010781533,,3.653458010781533
2000,Burbank city,8954,Los Angeles,6037,Southern California,14,100316,0.002013636907372702,7.974799633159217e-05,9.968499541449022e-06,0.0008572909605646158,0.002960644363810359,,2.960644363810359
2000,Burlingame city,9066,San Mateo,6081,Bay Area,1,28158,0.001171958235670147,0.0002841110874351872,0.0,0.0008168193763761631,0.002272888699481497,,2.272888699481497
2000,Butte,6007,Butte,6007,Butte,2,203171,0.002337932086764351,0.0003789910961702212,3.93756983033996e-05,0.0006841527580215681,0.00344045163925954,,3.44045163925954
2000,Calabasas city,9598,Los Angeles,6037,Southern California,14,21356,0.001297858533419857,0.0001497529077022912,0.0,0.0002495881795038187,0.001697199620625967,,1.697199620625967
2000,Calaveras,6009,Calaveras,6009,Central/Southeast Sierra,3,40554,0.002490506485180254,0.0001972678404103171,9.863392020515855e-05,0.0001232924002564482,0.002909700646052177,,2.909700646052177
2000,Calexico city,9710,Imperial,6025,Southern California,14,27109,0.001143531668449592,0.0001106643550112509,0.0,0.001143531668449592,0.002397727691910436,,2.397727691910436
2000,California City city,9780,Kern,6029,San Joaquin Valley,10,8385,0.004174120453190221,0.0001192605843768634,0.0,0.0008348240906380441,0.005128205128205128,,5.128205128205129
2000,Calimesa city,9864,Riverside,6065,Southern California,14,7139,0.002381285894382967,0.0001400756408460569,0.0,0.0007003782042302844,0.003221739739459308,,3.221739739459308
