geoname,lat,lon
Adelanto city,34.57253160,-117.41112670
Agoura Hills city,34.15693010,-118.75723420
Alameda,37.60902910,-121.89914200
Alameda city,34.24060670,-116.84733740
Albany city,37.89567930,-122.30931910
Alhambra city,34.09250940,-118.12729240
Alpine,38.58939340,-119.83450130
Alturas city,41.48354150,-120.54374840
Amador,38.44908900,-120.59110180
American Canyon city,38.17852480,-122.25518300
Anaheim city,33.80320400,-117.88568940
Anderson city,40.44782770,-122.30032770
Angels City city,34.05369090,-118.24276600
Antioch city,38.01631000,-121.81523400
Apple Valley town,34.52441370,-117.21430500
Arcadia city,34.13732750,-118.03859890
Arcata city,40.86688380,-124.09759250
Arroyo Grande city,35.11341460,-120.60213770
Artesia city,33.86004400,-118.07995950
Arvin city,35.21051790,-118.83287550
Atascadero city,35.49141000,-120.66874480
Atherton town,37.46132700,-122.19774300
Atwater city,37.34743960,-120.60852840
Auburn city,38.89760110,-121.07416640
Avalon city,33.34005400,-118.32850320
Avenal city,36.00773330,-120.12263820
Azusa city,34.13540630,-117.90557100
Bakersfield city,35.37367380,-119.02047430
Baldwin Park city,34.08545900,-117.95967100
Banning city,33.79384210,-118.26211160
Barstow city,34.88782530,-117.04852460
Beaumont city,33.92989490,-116.97513410
Bell Gardens city,33.96742090,-118.15001900
Bell city,33.97751000,-118.18702000
Bellflower city,33.88354530,-118.12195880
Belmont city,37.52553420,-122.26628950
Belvedere city,37.86639510,-122.46269900
Benicia city,38.05882510,-122.15479720
Berkeley city,37.86979900,-122.26968550
Beverly Hills city,34.07328820,-118.39894150
Big Bear Lake city,34.27306240,-116.83280720
Biggs city,39.41387190,-121.71066900
Bishop city,37.77196910,-121.96479240
Blue Lake city,40.88253700,-123.99195710
Blythe city,33.61288110,-114.59726410
Bradbury city,34.14556240,-117.97062040
Brawley city,32.97833520,-115.53512870
Brea city,33.91479150,-117.90165100
Brentwood city,37.98101160,-121.73353620
Brisbane city,37.68694540,-122.40396280
Buellton city,34.61502264,-120.19575809
Buena Park city,33.84389510,-118.00981160
Burbank city,34.18166670,-118.30722220
Burlingame city,37.57978540,-122.35064950
